tv,"<img src=""https://storage.googleapis.com/annotations_video_summarisation/evaluating_IoU/retinanet_R_50_FPN_1xdetectron2_pretrained_fixed_factors_chosen_for_survey_no_margin/368900_tv0_large_IoU0.8_1.5larger.png"" />","<img src=""https://storage.googleapis.com/annotations_video_summarisation/evaluating_IoU/retinanet_R_50_FPN_1xdetectron2_pretrained_fixed_factors_chosen_for_survey_no_margin/368900_tv0_large_IoU0.8_1.5smaller.png"" />","<img src=""https://storage.googleapis.com/annotations_video_summarisation/evaluating_IoU/retinanet_R_50_FPN_1xdetectron2_pretrained_fixed_factors_chosen_for_survey_no_margin/368900_tv0_large_IoU0.8_2.0larger.png"" />","<img src=""https://storage.googleapis.com/annotations_video_summarisation/evaluating_IoU/retinanet_R_50_FPN_1xdetectron2_pretrained_fixed_factors_chosen_for_survey_no_margin/368900_tv0_large_IoU0.8_2.0smaller.png"" />","<img src=""https://storage.googleapis.com/annotations_video_summarisation/evaluating_IoU/retinanet_R_50_FPN_1xdetectron2_pretrained_fixed_factors_chosen_for_survey_no_margin/368900_tv0_large_IoU0.8.png"" />"
tie,"<img src=""https://storage.googleapis.com/annotations_video_summarisation/evaluating_IoU/retinanet_R_50_FPN_1xdetectron2_pretrained_fixed_factors_chosen_for_survey_no_margin/462371_tie5_small_IoU0.8_1.5larger.png"" />","<img src=""https://storage.googleapis.com/annotations_video_summarisation/evaluating_IoU/retinanet_R_50_FPN_1xdetectron2_pretrained_fixed_factors_chosen_for_survey_no_margin/462371_tie5_small_IoU0.8_1.5smaller.png"" />","<img src=""https://storage.googleapis.com/annotations_video_summarisation/evaluating_IoU/retinanet_R_50_FPN_1xdetectron2_pretrained_fixed_factors_chosen_for_survey_no_margin/462371_tie5_small_IoU0.8_2.0larger.png"" />","<img src=""https://storage.googleapis.com/annotations_video_summarisation/evaluating_IoU/retinanet_R_50_FPN_1xdetectron2_pretrained_fixed_factors_chosen_for_survey_no_margin/462371_tie5_small_IoU0.8_2.0smaller.png"" />","<img src=""https://storage.googleapis.com/annotations_video_summarisation/evaluating_IoU/retinanet_R_50_FPN_1xdetectron2_pretrained_fixed_factors_chosen_for_survey_no_margin/462371_tie5_small_IoU0.8.png"" />"
carrot2,"<img src=""https://storage.googleapis.com/annotations_video_summarisation/evaluating_IoU/retinanet_R_50_FPN_1xdetectron2_pretrained_fixed_factors_chosen_for_survey_no_margin/424721_carrot27_large_IoU0.5_1.5larger.png"" />","<img src=""https://storage.googleapis.com/annotations_video_summarisation/evaluating_IoU/retinanet_R_50_FPN_1xdetectron2_pretrained_fixed_factors_chosen_for_survey_no_margin/424721_carrot27_large_IoU0.5_1.5smaller.png"" />","<img src=""https://storage.googleapis.com/annotations_video_summarisation/evaluating_IoU/retinanet_R_50_FPN_1xdetectron2_pretrained_fixed_factors_chosen_for_survey_no_margin/424721_carrot27_large_IoU0.5_2.0larger.png"" />","<img src=""https://storage.googleapis.com/annotations_video_summarisation/evaluating_IoU/retinanet_R_50_FPN_1xdetectron2_pretrained_fixed_factors_chosen_for_survey_no_margin/424721_carrot27_large_IoU0.5_2.0smaller.png"" />","<img src=""https://storage.googleapis.com/annotations_video_summarisation/evaluating_IoU/retinanet_R_50_FPN_1xdetectron2_pretrained_fixed_factors_chosen_for_survey_no_margin/424721_carrot27_large_IoU0.5.png"" />"
fork1,"<img src=""https://storage.googleapis.com/annotations_video_summarisation/evaluating_IoU/retinanet_R_50_FPN_1xdetectron2_pretrained_fixed_factors_chosen_for_survey_no_margin/153632_fork10_small_IoU0.6_1.5larger.png"" />","<img src=""https://storage.googleapis.com/annotations_video_summarisation/evaluating_IoU/retinanet_R_50_FPN_1xdetectron2_pretrained_fixed_factors_chosen_for_survey_no_margin/153632_fork10_small_IoU0.6_1.5smaller.png"" />","<img src=""https://storage.googleapis.com/annotations_video_summarisation/evaluating_IoU/retinanet_R_50_FPN_1xdetectron2_pretrained_fixed_factors_chosen_for_survey_no_margin/153632_fork10_small_IoU0.6_2.0larger.png"" />","<img src=""https://storage.googleapis.com/annotations_video_summarisation/evaluating_IoU/retinanet_R_50_FPN_1xdetectron2_pretrained_fixed_factors_chosen_for_survey_no_margin/153632_fork10_small_IoU0.6_2.0smaller.png"" />","<img src=""https://storage.googleapis.com/annotations_video_summarisation/evaluating_IoU/retinanet_R_50_FPN_1xdetectron2_pretrained_fixed_factors_chosen_for_survey_no_margin/153632_fork10_small_IoU0.6.png"" />"
sink7,"<img src=""https://storage.googleapis.com/annotations_video_summarisation/evaluating_IoU/retinanet_R_50_FPN_1xdetectron2_pretrained_fixed_factors_chosen_for_survey_no_margin/501523_sink76_large_IoU0.6_1.5larger.png"" />","<img src=""https://storage.googleapis.com/annotations_video_summarisation/evaluating_IoU/retinanet_R_50_FPN_1xdetectron2_pretrained_fixed_factors_chosen_for_survey_no_margin/501523_sink76_large_IoU0.6_1.5smaller.png"" />","<img src=""https://storage.googleapis.com/annotations_video_summarisation/evaluating_IoU/retinanet_R_50_FPN_1xdetectron2_pretrained_fixed_factors_chosen_for_survey_no_margin/501523_sink76_large_IoU0.6_2.0larger.png"" />","<img src=""https://storage.googleapis.com/annotations_video_summarisation/evaluating_IoU/retinanet_R_50_FPN_1xdetectron2_pretrained_fixed_factors_chosen_for_survey_no_margin/501523_sink76_large_IoU0.6_2.0smaller.png"" />","<img src=""https://storage.googleapis.com/annotations_video_summarisation/evaluating_IoU/retinanet_R_50_FPN_1xdetectron2_pretrained_fixed_factors_chosen_for_survey_no_margin/501523_sink76_large_IoU0.6.png"" />"
tie7,"<img src=""https://storage.googleapis.com/annotations_video_summarisation/evaluating_IoU/retinanet_R_50_FPN_1xdetectron2_pretrained_fixed_factors_chosen_for_survey_no_margin/462371_tie74_small_IoU0.5_1.5larger.png"" />","<img src=""https://storage.googleapis.com/annotations_video_summarisation/evaluating_IoU/retinanet_R_50_FPN_1xdetectron2_pretrained_fixed_factors_chosen_for_survey_no_margin/462371_tie74_small_IoU0.5_1.5smaller.png"" />","<img src=""https://storage.googleapis.com/annotations_video_summarisation/evaluating_IoU/retinanet_R_50_FPN_1xdetectron2_pretrained_fixed_factors_chosen_for_survey_no_margin/462371_tie74_small_IoU0.5_2.0larger.png"" />","<img src=""https://storage.googleapis.com/annotations_video_summarisation/evaluating_IoU/retinanet_R_50_FPN_1xdetectron2_pretrained_fixed_factors_chosen_for_survey_no_margin/462371_tie74_small_IoU0.5_2.0smaller.png"" />","<img src=""https://storage.googleapis.com/annotations_video_summarisation/evaluating_IoU/retinanet_R_50_FPN_1xdetectron2_pretrained_fixed_factors_chosen_for_survey_no_margin/462371_tie74_small_IoU0.5.png"" />"
person,"<img src=""https://storage.googleapis.com/annotations_video_summarisation/evaluating_IoU/retinanet_R_50_FPN_1xdetectron2_pretrained_fixed_factors_chosen_for_survey_no_margin/80340_person3_medium_IoU0.8_1.5larger.png"" />","<img src=""https://storage.googleapis.com/annotations_video_summarisation/evaluating_IoU/retinanet_R_50_FPN_1xdetectron2_pretrained_fixed_factors_chosen_for_survey_no_margin/80340_person3_medium_IoU0.8_1.5smaller.png"" />","<img src=""https://storage.googleapis.com/annotations_video_summarisation/evaluating_IoU/retinanet_R_50_FPN_1xdetectron2_pretrained_fixed_factors_chosen_for_survey_no_margin/80340_person3_medium_IoU0.8_2.0larger.png"" />","<img src=""https://storage.googleapis.com/annotations_video_summarisation/evaluating_IoU/retinanet_R_50_FPN_1xdetectron2_pretrained_fixed_factors_chosen_for_survey_no_margin/80340_person3_medium_IoU0.8_2.0smaller.png"" />","<img src=""https://storage.googleapis.com/annotations_video_summarisation/evaluating_IoU/retinanet_R_50_FPN_1xdetectron2_pretrained_fixed_factors_chosen_for_survey_no_margin/80340_person3_medium_IoU0.8.png"" />"
person,"<img src=""https://storage.googleapis.com/annotations_video_summarisation/evaluating_IoU/retinanet_R_50_FPN_1xdetectron2_pretrained_fixed_factors_chosen_for_survey_no_margin/365745_person3_small_IoU0.8_1.5larger.png"" />","<img src=""https://storage.googleapis.com/annotations_video_summarisation/evaluating_IoU/retinanet_R_50_FPN_1xdetectron2_pretrained_fixed_factors_chosen_for_survey_no_margin/365745_person3_small_IoU0.8_1.5smaller.png"" />","<img src=""https://storage.googleapis.com/annotations_video_summarisation/evaluating_IoU/retinanet_R_50_FPN_1xdetectron2_pretrained_fixed_factors_chosen_for_survey_no_margin/365745_person3_small_IoU0.8_2.0larger.png"" />","<img src=""https://storage.googleapis.com/annotations_video_summarisation/evaluating_IoU/retinanet_R_50_FPN_1xdetectron2_pretrained_fixed_factors_chosen_for_survey_no_margin/365745_person3_small_IoU0.8_2.0smaller.png"" />","<img src=""https://storage.googleapis.com/annotations_video_summarisation/evaluating_IoU/retinanet_R_50_FPN_1xdetectron2_pretrained_fixed_factors_chosen_for_survey_no_margin/365745_person3_small_IoU0.8.png"" />"
person1,"<img src=""https://storage.googleapis.com/annotations_video_summarisation/evaluating_IoU/retinanet_R_50_FPN_1xdetectron2_pretrained_fixed_factors_chosen_for_survey_no_margin/335328_person14_medium_IoU0.7_1.5larger.png"" />","<img src=""https://storage.googleapis.com/annotations_video_summarisation/evaluating_IoU/retinanet_R_50_FPN_1xdetectron2_pretrained_fixed_factors_chosen_for_survey_no_margin/335328_person14_medium_IoU0.7_1.5smaller.png"" />","<img src=""https://storage.googleapis.com/annotations_video_summarisation/evaluating_IoU/retinanet_R_50_FPN_1xdetectron2_pretrained_fixed_factors_chosen_for_survey_no_margin/335328_person14_medium_IoU0.7_2.0larger.png"" />","<img src=""https://storage.googleapis.com/annotations_video_summarisation/evaluating_IoU/retinanet_R_50_FPN_1xdetectron2_pretrained_fixed_factors_chosen_for_survey_no_margin/335328_person14_medium_IoU0.7_2.0smaller.png"" />","<img src=""https://storage.googleapis.com/annotations_video_summarisation/evaluating_IoU/retinanet_R_50_FPN_1xdetectron2_pretrained_fixed_factors_chosen_for_survey_no_margin/335328_person14_medium_IoU0.7.png"" />"
chair,"<img src=""https://storage.googleapis.com/annotations_video_summarisation/evaluating_IoU/retinanet_R_50_FPN_1xdetectron2_pretrained_fixed_factors_chosen_for_survey_no_margin/428280_chair1_medium_IoU0.8_1.5larger.png"" />","<img src=""https://storage.googleapis.com/annotations_video_summarisation/evaluating_IoU/retinanet_R_50_FPN_1xdetectron2_pretrained_fixed_factors_chosen_for_survey_no_margin/428280_chair1_medium_IoU0.8_1.5smaller.png"" />","<img src=""https://storage.googleapis.com/annotations_video_summarisation/evaluating_IoU/retinanet_R_50_FPN_1xdetectron2_pretrained_fixed_factors_chosen_for_survey_no_margin/428280_chair1_medium_IoU0.8_2.0larger.png"" />","<img src=""https://storage.googleapis.com/annotations_video_summarisation/evaluating_IoU/retinanet_R_50_FPN_1xdetectron2_pretrained_fixed_factors_chosen_for_survey_no_margin/428280_chair1_medium_IoU0.8_2.0smaller.png"" />","<img src=""https://storage.googleapis.com/annotations_video_summarisation/evaluating_IoU/retinanet_R_50_FPN_1xdetectron2_pretrained_fixed_factors_chosen_for_survey_no_margin/428280_chair1_medium_IoU0.8.png"" />"
